type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-10-04 12:35:42.291,49.66170669,18.28250873,4.59,388.071,,18.710,73,27,39,20241004-123542,GPS Logger: 20241004-123542
T,2024-10-04 12:35:43.291,49.66175037,18.28278614,4.39,392.228,,18.730,73,28,39,,
T,2024-10-04 12:35:44,49.66176281,18.28289224,4.39,380.483,,18.640,73,28,40,,
T,2024-10-04 12:35:46,49.66188327,18.28341960,3.79,384.690,,18.730,73,25,40,,
T,2024-10-04 12:35:47,49.66192660,18.28366422,3.79,383.900,,18.380,73,25,41,,
T,2024-10-04 12:35:48,49.66197558,18.28390588,3.79,383.988,,18.370,72,26,41,,
T,2024-10-04 12:35:49,49.66201024,18.28415195,3.79,384.221,,18.200,72,26,41,,
T,2024-10-04 12:35:50,49.66205754,18.28438359,3.79,383.745,,17.990,73,26,41,,
T,2024-10-04 12:35:51,49.66210616,18.28462437,3.79,383.872,,17.990,73,26,41,,
T,2024-10-04 12:35:52,49.66215264,18.28485807,3.79,383.640,,17.820,73,26,41,,
T,2024-10-04 12:35:53,49.66219905,18.28509136,3.79,382.886,,17.630,71,26,41,,
T,2024-10-04 12:35:54,49.66224581,18.28532084,3.79,383.370,,17.370,71,26,41,,
T,2024-10-04 12:35:55,49.66229021,18.28554800,3.79,383.303,,17.140,71,25,41,,
T,2024-10-04 12:35:56,49.66233040,18.28577316,3.79,383.804,,16.870,70,25,41,,
T,2024-10-04 12:35:57,49.66237185,18.28599432,3.79,383.574,,16.570,70,25,41,,
T,2024-10-04 12:35:58,49.66241282,18.28620657,3.79,383.004,,16.480,70,24,41,,
T,2024-10-04 12:35:59,49.66245326,18.28643687,3.79,383.302,,16.560,70,25,41,,
T,2024-10-04 12:36:00,49.66249810,18.28666055,3.79,383.171,,16.600,70,24,41,,
T,2024-10-04 12:36:01,49.66253716,18.28687650,3.79,382.856,,16.630,70,24,41,,
T,2024-10-04 12:36:02,49.66258501,18.28709864,3.79,382.798,,16.640,68,24,41,,
T,2024-10-04 12:36:03,49.66262676,18.28731753,3.79,382.077,,16.460,69,24,41,,
T,2024-10-04 12:36:04,49.66267028,18.28753291,3.79,381.570,,16.160,70,24,42,,
T,2024-10-04 12:36:05,49.66271095,18.28773944,3.79,381.250,,15.710,71,24,42,,
T,2024-10-04 12:36:06,49.66275293,18.28793447,3.79,380.887,,15.390,70,24,42,,
T,2024-10-04 12:36:07,49.66279194,18.28813533,3.79,380.661,,15.240,70,24,41,,
T,2024-10-04 12:36:08,49.66283144,18.28834412,3.79,380.773,,15.010,59,23,41,,
T,2024-10-04 12:36:09,49.66287729,18.28854251,3.79,379.813,,14.900,69,24,42,,
T,2024-10-04 12:36:10,49.66291560,18.28873799,3.79,379.138,,14.810,78,26,42,,
T,2024-10-04 12:36:11,49.66295478,18.28893212,3.79,379.151,,14.570,74,27,42,,
T,2024-10-04 12:36:12,49.66299075,18.28912279,3.79,379.020,,14.470,72,27,42,,
T,2024-10-04 12:36:13,49.66302900,18.28930555,3.79,378.731,,14.300,73,27,42,,
T,2024-10-04 12:36:14,49.66306530,18.28949134,3.79,378.360,,14.180,73,27,42,,
T,2024-10-04 12:36:15,49.66310525,18.28967747,3.79,378.257,,14.060,72,27,42,,
T,2024-10-04 12:36:16,49.66314234,18.28986293,3.79,378.003,,13.950,73,26,42,,
T,2024-10-04 12:36:17,49.66317853,18.29005029,3.79,377.896,,13.780,72,26,42,,
T,2024-10-04 12:36:18,49.66321602,18.29023344,3.79,377.798,,13.670,72,27,42,,
T,2024-10-04 12:36:19,49.66325432,18.29040900,3.79,377.139,,13.650,72,26,42,,
T,2024-10-04 12:36:20,49.66329078,18.29059554,3.79,376.677,,13.800,72,26,42,,
T,2024-10-04 12:36:21,49.66332560,18.29077765,3.79,376.272,,13.970,72,25,42,,
T,2024-10-04 12:36:22,49.66336445,18.29096393,3.79,375.862,,14.160,71,25,42,,
T,2024-10-04 12:36:23,49.66340609,18.29114924,3.79,375.660,,14.160,71,24,42,,
T,2024-10-04 12:36:24,49.66344658,18.29132937,3.79,375.110,,14.120,72,24,42,,
T,2024-10-04 12:36:25,49.66348453,18.29151381,3.79,374.835,,13.920,62,24,42,,
T,2024-10-04 12:36:26,49.66352164,18.29169444,3.79,374.821,,13.840,71,25,42,,
T,2024-10-04 12:36:27,49.66356086,18.29187741,3.79,374.999,,13.830,73,27,42,,
T,2024-10-04 12:36:28,49.66360506,18.29205833,3.79,374.512,,13.910,71,27,42,,
T,2024-10-04 12:36:29,49.66363802,18.29223982,3.79,374.382,,13.530,74,27,42,,
T,2024-10-04 12:36:30,49.66367542,18.29242040,3.79,374.183,,13.500,73,27,40,,
T,2024-10-04 12:36:31,49.66371257,18.29259942,3.79,373.759,,13.500,73,26,39,,
T,2024-10-04 12:36:32,49.66374959,18.29278353,3.79,373.728,,13.430,73,26,40,,
T,2024-10-04 12:36:33,49.66378487,18.29296268,3.79,373.589,,13.420,73,26,40,,
T,2024-10-04 12:36:34,49.66382250,18.29314170,3.79,373.455,,13.400,73,26,40,,
T,2024-10-04 12:36:35,49.66386017,18.29331919,3.79,373.030,,13.380,72,26,40,,
T,2024-10-04 12:36:36,49.66389552,18.29349640,3.79,372.472,,13.400,72,26,41,,
T,2024-10-04 12:36:37,49.66393294,18.29367528,3.79,372.262,,13.390,72,26,41,,
T,2024-10-04 12:36:38,49.66396973,18.29385522,3.79,372.168,,13.380,72,26,40,,
T,2024-10-04 12:36:39,49.66400758,18.29403410,3.79,371.717,,13.410,73,26,39,,
T,2024-10-04 12:36:40,49.66404180,18.29421392,3.79,371.447,,13.600,73,26,40,,
T,2024-10-04 12:36:41,49.66407956,18.29439628,3.79,371.076,,13.680,73,27,40,,
T,2024-10-04 12:36:42,49.66411397,18.29458065,3.79,370.594,,13.780,74,26,37,,
T,2024-10-04 12:36:43,49.66414913,18.29476660,3.79,370.198,,13.890,74,26,37,,
T,2024-10-04 12:36:44,49.66418739,18.29495860,3.79,369.860,,14.110,73,25,37,,
T,2024-10-04 12:36:45,49.66422298,18.29515210,3.79,369.424,,14.470,73,24,37,,
T,2024-10-04 12:36:46,49.66425997,18.29534742,3.79,369.325,,14.810,73,24,38,,
T,2024-10-04 12:36:47,49.66429581,18.29554648,3.79,369.102,,15.020,73,24,38,,
T,2024-10-04 12:36:48,49.66433495,18.29574711,3.79,368.929,,15.190,73,23,38,,
